Variable,Kruskal_H,p,eta2_H,Effect_size
Self-Awareness,12.525,0.0058,0.105,medium
Self-Management,4.985,0.1729,0.022,small
Social-Awareness,2.127,0.5464,-0.01,negligible
Relationship Management,7.527,0.0569,0.05,small
EI,8.474,0.0372,0.06,medium
GTL,4.81,0.1862,0.02,small
